[37;1m2026-06-03 15:25:53.094 [31;1m[[37;1mRTPS_TRANSPORT_SHM[31;1m Error] [37mFailed init_port fastrtps_port7419: open_and_lock_file failed[34;1m -> Function [36mopen_port_internal[m
[INFO] [1780500353.457329305] [microamp_factor_graph_tracking]: Using scenario_id=1
[INFO] [1780500353.465840680] [microamp_factor_graph_tracking]: Expanded factor graph node initialized.
[WARN] [1780500355.143980042] [microamp_factor_graph_tracking]: Graph not initialized yet, skipping USBL measurement
[INFO] [1780500355.148592792] [microamp_factor_graph_tracking]: Graph initialized with GNSS at NED (31.16, 2.26, -0.89)
[INFO] [1780500355.244837250] [microamp_factor_graph_tracking]: Processed GNSS at 1700000002.00, NED (32.85, 5.32, -0.75).
[INFO] [1780500355.343943750] [microamp_factor_graph_tracking]: Processed GNSS at 1700000003.00, NED (35.76, 2.99, -3.32).
[INFO] [1780500355.444373833] [microamp_factor_graph_tracking]: Processed GNSS at 1700000004.00, NED (39.41, 8.08, 1.44).
[INFO] [1780500355.544430250] [microamp_factor_graph_tracking]: Processed GNSS at 1700000005.00, NED (37.79, 9.11, -0.30).
[INFO] [1780500355.645059417] [microamp_factor_graph_tracking]: Processed GNSS at 1700000006.00, NED (40.62, 11.40, 2.17).
[INFO] [1780500355.744183417] [microamp_factor_graph_tracking]: Processed GNSS at 1700000007.00, NED (41.58, 14.95, 1.23).
[INFO] [1780500355.844740542] [microamp_factor_graph_tracking]: Processed GNSS at 1700000008.00, NED (42.61, 12.68, 1.86).
[INFO] [1780500355.945739459] [microamp_factor_graph_tracking]: Processed GNSS at 1700000009.00, NED (41.25, 18.41, 2.64).
[INFO] [1780500356.054233375] [microamp_factor_graph_tracking]: Processed GNSS at 1700000010.00, NED (45.33, 18.94, -3.17).
[INFO] [1780500356.145313625] [microamp_factor_graph_tracking]: Processed GNSS at 1700000011.00, NED (44.94, 17.97, 2.40).
[INFO] [1780500356.244325750] [microamp_factor_graph_tracking]: Processed GNSS at 1700000012.00, NED (45.07, 18.19, -3.28).
[INFO] [1780500356.345356250] [microamp_factor_graph_tracking]: Processed GNSS at 1700000013.00, NED (45.10, 19.44, -0.10).
[INFO] [1780500356.444643626] [microamp_factor_graph_tracking]: Processed GNSS at 1700000014.00, NED (51.34, 20.67, -0.20).
[INFO] [1780500356.544819292] [microamp_factor_graph_tracking]: Processed GNSS at 1700000015.00, NED (50.00, 19.40, 0.52).
[INFO] [1780500356.645486084] [microamp_factor_graph_tracking]: Processed GNSS at 1700000016.00, NED (51.43, 19.68, 0.67).
[INFO] [1780500356.745577626] [microamp_factor_graph_tracking]: Processed GNSS at 1700000017.00, NED (54.47, 21.02, -0.64).
[INFO] [1780500356.844629667] [microamp_factor_graph_tracking]: Processed GNSS at 1700000018.00, NED (56.33, 18.68, -0.94).
[INFO] [1780500356.943858709] [microamp_factor_graph_tracking]: Processed GNSS at 1700000019.00, NED (56.24, 20.59, -2.23).
[INFO] [1780500357.044418001] [microamp_factor_graph_tracking]: Processed GNSS at 1700000020.00, NED (55.46, 17.90, -0.76).
[INFO] [1780500357.145458334] [microamp_factor_graph_tracking]: Processed GNSS at 1700000021.00, NED (56.34, 17.83, -4.11).
[INFO] [1780500357.244891251] [microamp_factor_graph_tracking]: Processed GNSS at 1700000022.00, NED (57.34, 15.56, -2.75).
[INFO] [1780500357.346057918] [microamp_factor_graph_tracking]: Processed GNSS at 1700000023.00, NED (56.27, 13.64, 0.18).
[INFO] [1780500357.445008959] [microamp_factor_graph_tracking]: Processed GNSS at 1700000024.00, NED (58.01, 12.40, -1.86).
[INFO] [1780500357.545722293] [microamp_factor_graph_tracking]: Processed GNSS at 1700000025.00, NED (57.65, 12.73, -1.44).
[INFO] [1780500357.644063209] [microamp_factor_graph_tracking]: Processed GNSS at 1700000026.00, NED (58.22, 10.47, -2.22).
[INFO] [1780500357.744775793] [microamp_factor_graph_tracking]: Processed GNSS at 1700000027.00, NED (59.76, 8.37, -0.19).
[INFO] [1780500357.844747085] [microamp_factor_graph_tracking]: Processed GNSS at 1700000028.00, NED (58.17, 4.20, 0.03).
[INFO] [1780500357.943771210] [microamp_factor_graph_tracking]: Processed GNSS at 1700000029.00, NED (59.02, 1.19, 2.17).
[INFO] [1780500358.045698418] [microamp_factor_graph_tracking]: Processed GNSS at 1700000030.00, NED (61.79, 1.69, 0.95).
[INFO] [1780500358.145873543] [microamp_factor_graph_tracking]: Processed GNSS at 1700000031.00, NED (59.16, -1.49, 2.58).
[INFO] [1780500358.244316376] [microamp_factor_graph_tracking]: Processed GNSS at 1700000032.00, NED (60.84, -0.14, 1.81).
[INFO] [1780500358.380205210] [microamp_factor_graph_tracking]: Processed GNSS at 1700000033.00, NED (58.89, -7.99, 2.83).
[INFO] [1780500358.452299376] [microamp_factor_graph_tracking]: Processed GNSS at 1700000034.00, NED (56.82, -6.13, -2.71).
[INFO] [1780500358.549008377] [microamp_factor_graph_tracking]: Processed GNSS at 1700000035.00, NED (58.49, -5.24, 1.99).
[INFO] [1780500358.644159752] [microamp_factor_graph_tracking]: Processed GNSS at 1700000036.00, NED (58.12, -6.52, 0.24).
[INFO] [1780500358.745204043] [microamp_factor_graph_tracking]: Processed GNSS at 1700000037.00, NED (59.63, -10.09, -2.30).
[INFO] [1780500358.844750335] [microamp_factor_graph_tracking]: Processed GNSS at 1700000038.00, NED (59.20, -9.20, -1.34).
[INFO] [1780500358.944757793] [microamp_factor_graph_tracking]: Processed GNSS at 1700000039.00, NED (58.42, -11.55, 2.18).
[INFO] [1780500359.047739293] [microamp_factor_graph_tracking]: Processed GNSS at 1700000040.00, NED (57.17, -17.10, 0.17).
[INFO] [1780500359.144739043] [microamp_factor_graph_tracking]: Processed GNSS at 1700000041.00, NED (56.17, -17.71, -2.01).
[INFO] [1780500359.244166544] [microamp_factor_graph_tracking]: Processed GNSS at 1700000042.00, NED (55.39, -17.31, -3.78).
[INFO] [1780500359.346287669] [microamp_factor_graph_tracking]: Processed GNSS at 1700000043.00, NED (54.12, -19.10, 0.99).
[INFO] [1780500359.445811877] [microamp_factor_graph_tracking]: Processed GNSS at 1700000044.00, NED (55.35, -18.78, 0.20).
[INFO] [1780500359.544946544] [microamp_factor_graph_tracking]: Processed GNSS at 1700000045.00, NED (53.29, -21.23, -0.38).
[INFO] [1780500359.646439710] [microamp_factor_graph_tracking]: Processed GNSS at 1700000046.00, NED (52.04, -20.32, 2.06).
[INFO] [1780500359.745613544] [microamp_factor_graph_tracking]: Processed GNSS at 1700000047.00, NED (50.29, -19.54, -4.04).
[INFO] [1780500359.845679919] [microamp_factor_graph_tracking]: Processed GNSS at 1700000048.00, NED (54.20, -19.73, 0.53).
[INFO] [1780500359.944715127] [microamp_factor_graph_tracking]: Processed GNSS at 1700000049.00, NED (47.43, -19.70, 0.72).
[INFO] [1780500360.047790461] [microamp_factor_graph_tracking]: Processed GNSS at 1700000050.00, NED (44.17, -18.82, -1.37).
[INFO] [1780500360.145173419] [microamp_factor_graph_tracking]: Processed GNSS at 1700000051.00, NED (42.84, -21.27, -1.91).
[INFO] [1780500360.245576169] [microamp_factor_graph_tracking]: Processed GNSS at 1700000052.00, NED (45.44, -14.59, 0.64).
[INFO] [1780500360.344854711] [microamp_factor_graph_tracking]: Processed GNSS at 1700000053.00, NED (47.03, -15.43, 0.42).
[INFO] [1780500360.445448836] [microamp_factor_graph_tracking]: Processed GNSS at 1700000054.00, NED (43.35, -18.34, -0.85).
[INFO] [1780500360.548134377] [microamp_factor_graph_tracking]: Processed GNSS at 1700000055.00, NED (38.85, -13.64, 2.82).
[INFO] [1780500360.645290044] [microamp_factor_graph_tracking]: Processed GNSS at 1700000056.00, NED (39.49, -11.63, -1.03).
[INFO] [1780500360.744852669] [microamp_factor_graph_tracking]: Processed GNSS at 1700000057.00, NED (41.74, -9.99, 0.84).
[INFO] [1780500360.845004461] [microamp_factor_graph_tracking]: Processed GNSS at 1700000058.00, NED (37.97, -9.14, -4.04).
