[37;1m2026-06-03 15:21:22.701 [31;1m[[37;1mRTPS_TRANSPORT_SHM[31;1m Error] [37mFailed init_port fastrtps_port7419: open_and_lock_file failed[34;1m -> Function [36mopen_port_internal[m
[INFO] [1780500082.727659805] [microamp_factor_graph_tracking]: Using scenario_id=3
[INFO] [1780500082.742171305] [microamp_factor_graph_tracking]: Expanded factor graph node initialized.
[WARN] [1780500084.789285000] [microamp_factor_graph_tracking]: Graph not initialized yet, skipping USBL measurement
[INFO] [1780500084.798153458] [microamp_factor_graph_tracking]: Graph initialized with GNSS at NED (31.16, 2.26, -0.89)
[INFO] [1780500084.887856541] [microamp_factor_graph_tracking]: Processed GNSS at 1700000002.00, NED (32.85, 5.32, -0.75).
[INFO] [1780500084.988124750] [microamp_factor_graph_tracking]: Processed GNSS at 1700000003.00, NED (35.76, 2.99, -3.32).
[INFO] [1780500085.087413417] [microamp_factor_graph_tracking]: Processed GNSS at 1700000004.00, NED (39.41, 8.08, 1.44).
[INFO] [1780500085.188103833] [microamp_factor_graph_tracking]: Processed GNSS at 1700000005.00, NED (37.79, 9.11, -0.30).
[INFO] [1780500085.290583000] [microamp_factor_graph_tracking]: Processed GNSS at 1700000006.00, NED (40.62, 11.40, 2.17).
[INFO] [1780500085.387419667] [microamp_factor_graph_tracking]: Processed GNSS at 1700000007.00, NED (41.58, 14.95, 1.23).
[INFO] [1780500085.487689167] [microamp_factor_graph_tracking]: Processed GNSS at 1700000008.00, NED (42.61, 12.68, 1.86).
[INFO] [1780500085.588670458] [microamp_factor_graph_tracking]: Processed GNSS at 1700000009.00, NED (41.25, 18.41, 2.64).
[INFO] [1780500085.688635167] [microamp_factor_graph_tracking]: Processed GNSS at 1700000010.00, NED (45.33, 18.94, -3.17).
[INFO] [1780500085.787117875] [microamp_factor_graph_tracking]: Initialized ROV 1 at NED (34.50, 14.67, 12.96), t_sent=1700000010.00
[INFO] [1780500085.788448334] [microamp_factor_graph_tracking]: Processed GNSS at 1700000011.00, NED (44.94, 17.97, 2.40).
[INFO] [1780500085.889354292] [microamp_factor_graph_tracking]: Processed GNSS at 1700000012.00, NED (45.07, 18.19, -3.28).
[INFO] [1780500085.988686834] [microamp_factor_graph_tracking]: Processed GNSS at 1700000013.00, NED (45.10, 19.44, -0.10).
[INFO] [1780500086.087838042] [microamp_factor_graph_tracking]: Processed GNSS at 1700000014.00, NED (51.34, 20.67, -0.20).
[INFO] [1780500086.190441292] [microamp_factor_graph_tracking]: Processed GNSS at 1700000015.00, NED (50.00, 19.40, 0.52).
[INFO] [1780500086.287188000] [microamp_factor_graph_tracking]: Processed GNSS at 1700000016.00, NED (51.43, 19.68, 0.67).
[INFO] [1780500086.388051542] [microamp_factor_graph_tracking]: Processed GNSS at 1700000017.00, NED (54.47, 21.02, -0.64).
[INFO] [1780500086.487925792] [microamp_factor_graph_tracking]: Processed GNSS at 1700000018.00, NED (56.33, 18.68, -0.94).
[INFO] [1780500086.588060959] [microamp_factor_graph_tracking]: Processed GNSS at 1700000019.00, NED (56.24, 20.59, -2.23).
[INFO] [1780500086.688907292] [microamp_factor_graph_tracking]: Processed GNSS at 1700000020.00, NED (55.46, 17.90, -0.76).
[INFO] [1780500086.787352417] [microamp_factor_graph_tracking]: USBL time offset initialized: 0.000115
[INFO] [1780500086.787784626] [microamp_factor_graph_tracking]: Added ROV 1 node (step 1) at t=1700000020.00, dt=10.000 s
[INFO] [1780500086.788573834] [microamp_factor_graph_tracking]: Processed GNSS at 1700000021.00, NED (56.34, 17.83, -4.11).
[INFO] [1780500086.887624792] [microamp_factor_graph_tracking]: Processed GNSS at 1700000022.00, NED (57.34, 15.56, -2.75).
[INFO] [1780500086.987917292] [microamp_factor_graph_tracking]: Processed GNSS at 1700000023.00, NED (56.27, 13.64, 0.18).
[INFO] [1780500087.087954376] [microamp_factor_graph_tracking]: Processed GNSS at 1700000024.00, NED (58.01, 12.40, -1.86).
[INFO] [1780500087.189725043] [microamp_factor_graph_tracking]: Processed GNSS at 1700000025.00, NED (57.65, 12.73, -1.44).
